PROLIFIC_PID,Condition,Validity,PC
5638e8a444e8c8000ee86a35,S1-R Transfer,Valid,1
5638e8a444e8c8000ee86a35,S1-R Transfer,invalid,0
56a8bb427f2472000b9522f6,S1-R Transfer,Valid,0.2
56a8bb427f2472000b9522f6,S1-R Transfer,invalid,0.8
580decae240a2d0001e6bab3,S1-R Transfer,Valid,0.65
580decae240a2d0001e6bab3,S1-R Transfer,invalid,0.35
59e1e3a23e4b5a00016a9c17,S1-R Transfer,Valid,0.4
59e1e3a23e4b5a00016a9c17,S1-R Transfer,invalid,0.6
5aeb063b2f05b500013028a0,S1-R Transfer,Valid,0.35
5aeb063b2f05b500013028a0,S1-R Transfer,invalid,0.65
5b2870cf7f78160001465bf9,S1-R Transfer,Valid,0.75
5b2870cf7f78160001465bf9,S1-R Transfer,invalid,0.25
5b985404a15058000124e508,S1-R Transfer,Valid,0.45
5b985404a15058000124e508,S1-R Transfer,invalid,0.55
5bc9e924e642db0001d3a1c5,S1-R Transfer,Valid,0.75
5bc9e924e642db0001d3a1c5,S1-R Transfer,invalid,0.25
5c1942e200849900010afdcd,S1-R Transfer,Valid,0.65
5c1942e200849900010afdcd,S1-R Transfer,invalid,0.35
5c4d1a6c9ce35100019dbc88,S1-R Transfer,Valid,0.4
5c4d1a6c9ce35100019dbc88,S1-R Transfer,invalid,0.6
5cfc7489e289a80016b6e29f,S1-R Transfer,Valid,0.55
5cfc7489e289a80016b6e29f,S1-R Transfer,invalid,0.45
5d35989e71b4880017d5cc81,S1-R Transfer,Valid,0.75
5d35989e71b4880017d5cc81,S1-R Transfer,invalid,0.25
5da6139c002c29001335b5a2,S1-R Transfer,Valid,0.4
5da6139c002c29001335b5a2,S1-R Transfer,invalid,0.6
5de7ccc24b7cf973d7b05bfb,S1-R Transfer,Valid,0.4
5de7ccc24b7cf973d7b05bfb,S1-R Transfer,invalid,0.6
5e7f514bb18cb4000a68310d,S1-R Transfer,Valid,0.55
5e7f514bb18cb4000a68310d,S1-R Transfer,invalid,0.45
5e8b89d0afcb1606e761ef7f,S1-R Transfer,Valid,0.5
5e8b89d0afcb1606e761ef7f,S1-R Transfer,invalid,0.5
5e92178e8ee4fe54b65b7c39,S1-R Transfer,Valid,0.65
5e92178e8ee4fe54b65b7c39,S1-R Transfer,invalid,0.35
5eebb8b7011d13119025dcf0,S1-R Transfer,Valid,0.45
5eebb8b7011d13119025dcf0,S1-R Transfer,invalid,0.55
5ef1f7026343e20b931a0cb0,S1-R Transfer,Valid,0.45
5ef1f7026343e20b931a0cb0,S1-R Transfer,invalid,0.55
5f00fa2353b5c10c934298fa,S1-R Transfer,Valid,0.6
5f00fa2353b5c10c934298fa,S1-R Transfer,invalid,0.4
5f19e162d258ca0921678a36,S1-R Transfer,Valid,0.4
5f19e162d258ca0921678a36,S1-R Transfer,invalid,0.6
5f25e860dd98342ce97e7403,S1-R Transfer,Valid,0.5
5f25e860dd98342ce97e7403,S1-R Transfer,invalid,0.5
5f50732850c7c600098593df,S1-R Transfer,Valid,0.55
5f50732850c7c600098593df,S1-R Transfer,invalid,0.45
5f588fb87204220009eb684f,S1-R Transfer,Valid,0.3
5f588fb87204220009eb684f,S1-R Transfer,invalid,0.7
5f5b2bd1b2430a23a9674a55,S1-R Transfer,Valid,0.6
5f5b2bd1b2430a23a9674a55,S1-R Transfer,invalid,0.4
5f5f5013f947f6000bd8ddcb,S1-R Transfer,Valid,0.7
5f5f5013f947f6000bd8ddcb,S1-R Transfer,invalid,0.3
5f6e36c7f042f033d0f97bc1,S1-R Transfer,Valid,0.55
5f6e36c7f042f033d0f97bc1,S1-R Transfer,invalid,0.45
5fa3dc74fefcb501f909c68a,S1-R Transfer,Valid,0.25
5fa3dc74fefcb501f909c68a,S1-R Transfer,invalid,0.75
5ff792bdc0091e494e352e9b,S1-R Transfer,Valid,0.55
5ff792bdc0091e494e352e9b,S1-R Transfer,invalid,0.45
600de3bf29e45455345fa8b5,S1-R Transfer,Valid,0.5
600de3bf29e45455345fa8b5,S1-R Transfer,invalid,0.5
6034e8e3628ecdf282096ccf,S1-R Transfer,Valid,0.45
6034e8e3628ecdf282096ccf,S1-R Transfer,invalid,0.55
60603496c9a3d83273a11297,S1-R Transfer,Valid,0
60603496c9a3d83273a11297,S1-R Transfer,invalid,1
6066d08253019ea549b1dd37,S1-R Transfer,Valid,0.55
6066d08253019ea549b1dd37,S1-R Transfer,invalid,0.45
6085a4cc5f5f9ba1a3bfd785,S1-R Transfer,Valid,0.25
6085a4cc5f5f9ba1a3bfd785,S1-R Transfer,invalid,0.75
6088e7b7d327c199db58cf61,S1-R Transfer,Valid,0.65
6088e7b7d327c199db58cf61,S1-R Transfer,invalid,0.35
60967660853e8fcaf410748b,S1-R Transfer,Valid,0.5
60967660853e8fcaf410748b,S1-R Transfer,invalid,0.5
60a97537bf4b23dbaba42403,S1-R Transfer,Valid,0.5
60a97537bf4b23dbaba42403,S1-R Transfer,invalid,0.5
60abbbce67335394c314a00a,S1-R Transfer,Valid,0.85
60abbbce67335394c314a00a,S1-R Transfer,invalid,0.15
60b3950b9a1de417d37bb8d2,S1-R Transfer,Valid,0.45
60b3950b9a1de417d37bb8d2,S1-R Transfer,invalid,0.55
60b91383e5e9ab787f581f7c,S1-R Transfer,Valid,0.7
60b91383e5e9ab787f581f7c,S1-R Transfer,invalid,0.3
60cb63abf6f1053d9577e1fe,S1-R Transfer,Valid,0.6
60cb63abf6f1053d9577e1fe,S1-R Transfer,invalid,0.4
60d432ce6e413e7509dd4b78,S1-R Transfer,Valid,0.55
60d432ce6e413e7509dd4b78,S1-R Transfer,invalid,0.45
60dbd1a6bb3d411213cef6bc,S1-R Transfer,Valid,0.45
60dbd1a6bb3d411213cef6bc,S1-R Transfer,invalid,0.55
60df713d7718de2a4065b80b,S1-R Transfer,Valid,0.2
60df713d7718de2a4065b80b,S1-R Transfer,invalid,0.8
60f91d62ce12ac59792a3f6e,S1-R Transfer,Valid,0.4
60f91d62ce12ac59792a3f6e,S1-R Transfer,invalid,0.6
60fcebba7345a976efc9c080,S1-R Transfer,Valid,0.9
60fcebba7345a976efc9c080,S1-R Transfer,invalid,0.1
60fd080d5476f4a77211bafb,S1-R Transfer,Valid,0.8
60fd080d5476f4a77211bafb,S1-R Transfer,invalid,0.2
60fd7f782b0c5f0b6503302a,S1-R Transfer,Valid,0.6
60fd7f782b0c5f0b6503302a,S1-R Transfer,invalid,0.4
60fdaf5b539bcc4d2724d6a4,S1-R Transfer,Valid,0.6
60fdaf5b539bcc4d2724d6a4,S1-R Transfer,invalid,0.4
60fdb83606ba18b3b54215fa,S1-R Transfer,Valid,0.55
60fdb83606ba18b3b54215fa,S1-R Transfer,invalid,0.45
6102dacce29b57b1e268c13a,S1-R Transfer,Valid,0.7
6102dacce29b57b1e268c13a,S1-R Transfer,invalid,0.3
610826a7604223dea33406f1,S1-R Transfer,Valid,0.6
610826a7604223dea33406f1,S1-R Transfer,invalid,0.4
6108ac1e801e23ad2a25e7f0,S1-R Transfer,Valid,0.75
6108ac1e801e23ad2a25e7f0,S1-R Transfer,invalid,0.25
6111234ac8cfa49e38acbfb4,S1-R Transfer,Valid,0.55
6111234ac8cfa49e38acbfb4,S1-R Transfer,invalid,0.45
6114681d3dcdb4a295eec181,S1-R Transfer,Valid,0.7
6114681d3dcdb4a295eec181,S1-R Transfer,invalid,0.3
611645b93f0840eae41426f5,S1-R Transfer,Valid,0.5
611645b93f0840eae41426f5,S1-R Transfer,invalid,0.5
611ff6cc935b6de3fff0b896,S1-R Transfer,Valid,0.55
611ff6cc935b6de3fff0b896,S1-R Transfer,invalid,0.45
61436bd26638b05527a135cb,S1-R Transfer,Valid,0.7
61436bd26638b05527a135cb,S1-R Transfer,invalid,0.3
6147724c13bb365774e24af1,S1-R Transfer,Valid,0.5
6147724c13bb365774e24af1,S1-R Transfer,invalid,0.5
6165ab1d62dc48b90438ea1d,S1-R Transfer,Valid,0.65
6165ab1d62dc48b90438ea1d,S1-R Transfer,invalid,0.35
616fe12dc33a81b79f5d958a,S1-R Transfer,Valid,0.65
616fe12dc33a81b79f5d958a,S1-R Transfer,invalid,0.35
61f2ad60a09e72f23cbaf86d,S1-R Transfer,Valid,0.65
61f2ad60a09e72f23cbaf86d,S1-R Transfer,invalid,0.35
622b64053557c445641d767a,S1-R Transfer,Valid,0.65
622b64053557c445641d767a,S1-R Transfer,invalid,0.35
627e807715abf2361938fd68,S1-R Transfer,Valid,0.55
627e807715abf2361938fd68,S1-R Transfer,invalid,0.45
6286672d0165aad8f1386c27,S1-R Transfer,Valid,0.45
6286672d0165aad8f1386c27,S1-R Transfer,invalid,0.55
628bbdac4ba783931f487fd8,S1-R Transfer,Valid,0.55
628bbdac4ba783931f487fd8,S1-R Transfer,invalid,0.45
628fc75b2561940f60f57b37,S1-R Transfer,Valid,0.5
628fc75b2561940f60f57b37,S1-R Transfer,invalid,0.5
629082739390703f993b12bd,S1-R Transfer,Valid,0.4
629082739390703f993b12bd,S1-R Transfer,invalid,0.6
6294c3c360a62ab4c18a4ffd,S1-R Transfer,Valid,0.6
6294c3c360a62ab4c18a4ffd,S1-R Transfer,invalid,0.4
629552d66a0ad893867fa675,S1-R Transfer,Valid,0.8
629552d66a0ad893867fa675,S1-R Transfer,invalid,0.2
62964243018e89ba8d83384b,S1-R Transfer,Valid,0.65
62964243018e89ba8d83384b,S1-R Transfer,invalid,0.35
