PROLIFIC_PID,Validity,Condition,Freq,PC,RT
6066d08253019ea549b1dd37,Valid,S1-R Transfer,11,0.55,509.1363636363853
6085a4cc5f5f9ba1a3bfd785,invalid,S1-R Transfer,15,0.75,496.24666666987497
6085a4cc5f5f9ba1a3bfd785,Valid,S1-R Transfer,5,0.25,517.4000000000206
6088e7b7d327c199db58cf61,invalid,S1-R Transfer,7,0.35,626.3714286259626
6088e7b7d327c199db58cf61,Valid,S1-R Transfer,13,0.65,703.1923076923214
60967660853e8fcaf410748b,invalid,S1-R Transfer,10,0.5,843.769999999563
60967660853e8fcaf410748b,Valid,S1-R Transfer,10,0.5,724.6200000003114
60a97537bf4b23dbaba42403,invalid,S1-R Transfer,10,0.5,156.53000000008888
60a97537bf4b23dbaba42403,Valid,S1-R Transfer,10,0.5,332.9499999996301
60abbbce67335394c314a00a,invalid,S1-R Transfer,3,0.15,1149.2333333293345
60abbbce67335394c314a00a,Valid,S1-R Transfer,17,0.85,581.9588235266003
60b3950b9a1de417d37bb8d2,invalid,S1-R Transfer,11,0.55,248.09999999673562
60b3950b9a1de417d37bb8d2,Valid,S1-R Transfer,9,0.45,277.67777777873766
60b91383e5e9ab787f581f7c,invalid,S1-R Transfer,6,0.3,650.6833332776978
60b91383e5e9ab787f581f7c,Valid,S1-R Transfer,14,0.7,787.2142857142868
60cb63abf6f1053d9577e1fe,invalid,S1-R Transfer,8,0.4,940.4500000029827
60cb63abf6f1053d9577e1fe,Valid,S1-R Transfer,12,0.6,909.766666665675
60d432ce6e413e7509dd4b78,invalid,S1-R Transfer,9,0.45,1116.2444445027277
60d432ce6e413e7509dd4b78,Valid,S1-R Transfer,11,0.55,865.4090909090903
60dbd1a6bb3d411213cef6bc,invalid,S1-R Transfer,11,0.55,172.27272727293231
60dbd1a6bb3d411213cef6bc,Valid,S1-R Transfer,9,0.45,234.2222222220395
60df713d7718de2a4065b80b,invalid,S1-R Transfer,16,0.8,739.737500004459
60df713d7718de2a4065b80b,Valid,S1-R Transfer,4,0.2,653.0500000119162
60f91d62ce12ac59792a3f6e,invalid,S1-R Transfer,12,0.6,1053.925000001982
60f91d62ce12ac59792a3f6e,Valid,S1-R Transfer,8,0.4,1140.1750000268294
60fcebba7345a976efc9c080,invalid,S1-R Transfer,2,0.1,976.3000000007764
60fcebba7345a976efc9c080,Valid,S1-R Transfer,18,0.9,965.5055555556595
60fd080d5476f4a77211bafb,invalid,S1-R Transfer,4,0.2,1317.3250000178882
60fd080d5476f4a77211bafb,Valid,S1-R Transfer,16,0.8,1066.7062500044651
60fd7f782b0c5f0b6503302a,invalid,S1-R Transfer,8,0.4,250.87500000746843
60fd7f782b0c5f0b6503302a,Valid,S1-R Transfer,12,0.6,203.8250000029791
60fdaf5b539bcc4d2724d6a4,invalid,S1-R Transfer,8,0.4,897.4999999851008
60fdaf5b539bcc4d2724d6a4,Valid,S1-R Transfer,12,0.6,1071.1916666626944
60fdb83606ba18b3b54215fa,invalid,S1-R Transfer,9,0.45,286.999999999984
60fdb83606ba18b3b54215fa,Valid,S1-R Transfer,11,0.55,442.636363636361
6102dacce29b57b1e268c13a,invalid,S1-R Transfer,6,0.3,673.3166666577214
6102dacce29b57b1e268c13a,Valid,S1-R Transfer,14,0.7,649.514285713447
610826a7604223dea33406f1,invalid,S1-R Transfer,8,0.4,269.16249999405295
610826a7604223dea33406f1,Valid,S1-R Transfer,12,0.6,270.5166666507826
6108ac1e801e23ad2a25e7f0,invalid,S1-R Transfer,5,0.25,698.1999999761683
6108ac1e801e23ad2a25e7f0,Valid,S1-R Transfer,15,0.75,729.0533333261882
6111234ac8cfa49e38acbfb4,invalid,S1-R Transfer,9,0.45,554.233333333501
6111234ac8cfa49e38acbfb4,Valid,S1-R Transfer,11,0.55,651.5818181816878
6114681d3dcdb4a295eec181,invalid,S1-R Transfer,6,0.3,950.0333333412716
6114681d3dcdb4a295eec181,Valid,S1-R Transfer,14,0.7,841.1785714370938
611645b93f0840eae41426f5,invalid,S1-R Transfer,10,0.5,387.04000000059295
611645b93f0840eae41426f5,Valid,S1-R Transfer,10,0.5,422.78000000415545
611ff6cc935b6de3fff0b896,invalid,S1-R Transfer,9,0.45,835.4999999983698
611ff6cc935b6de3fff0b896,Valid,S1-R Transfer,11,0.55,967.1272727264657
61436bd26638b05527a135cb,invalid,S1-R Transfer,6,0.3,218.16666662693743
61436bd26638b05527a135cb,Valid,S1-R Transfer,14,0.7,250.7428571411562
6147724c13bb365774e24af1,invalid,S1-R Transfer,10,0.5,601.1900000020887
6147724c13bb365774e24af1,Valid,S1-R Transfer,10,0.5,682.5700000017775
6165ab1d62dc48b90438ea1d,invalid,S1-R Transfer,7,0.35,819.57142857144
6165ab1d62dc48b90438ea1d,Valid,S1-R Transfer,13,0.65,601.0000000000078
616fe12dc33a81b79f5d958a,invalid,S1-R Transfer,7,0.35,325.5285714289877
616fe12dc33a81b79f5d958a,Valid,S1-R Transfer,13,0.65,242.4692307676406
61f2ad60a09e72f23cbaf86d,invalid,S1-R Transfer,7,0.35,254.0571428537289
61f2ad60a09e72f23cbaf86d,Valid,S1-R Transfer,13,0.65,234.7384615402986
622b64053557c445641d767a,invalid,S1-R Transfer,7,0.35,653.5000000000082
622b64053557c445641d767a,Valid,S1-R Transfer,13,0.65,846.6230769226006
627e807715abf2361938fd68,invalid,S1-R Transfer,9,0.45,376.3666666746354
627e807715abf2361938fd68,Valid,S1-R Transfer,11,0.55,415.027272733782
6286672d0165aad8f1386c27,invalid,S1-R Transfer,11,0.55,790.2454545443541
6286672d0165aad8f1386c27,Valid,S1-R Transfer,9,0.45,686.2222222205597
628bbdac4ba783931f487fd8,invalid,S1-R Transfer,9,0.45,307.49999999836876
628bbdac4ba783931f487fd8,Valid,S1-R Transfer,11,0.55,267.3909090933235
628fc75b2561940f60f57b37,invalid,S1-R Transfer,10,0.5,821.8100000023867
628fc75b2561940f60f57b37,Valid,S1-R Transfer,10,0.5,723.7400000065634
629082739390703f993b12bd,invalid,S1-R Transfer,12,0.6,862.3000000007579
629082739390703f993b12bd,Valid,S1-R Transfer,8,0.4,781.3375000040992
6294c3c360a62ab4c18a4ffd,invalid,S1-R Transfer,8,0.4,768.2624999880829
6294c3c360a62ab4c18a4ffd,Valid,S1-R Transfer,12,0.6,905.3916666706527
629552d66a0ad893867fa675,invalid,S1-R Transfer,4,0.2,523.1750000118893
629552d66a0ad893867fa675,Valid,S1-R Transfer,16,0.8,619.587500005963
62964243018e89ba8d83384b,invalid,S1-R Transfer,7,0.35,1014.9428571452128
62964243018e89ba8d83384b,Valid,S1-R Transfer,13,0.65,390.3846153846145
