PROLIFIC_PID,Validity,Condition,Freq,RT
5638e8a444e8c8000ee86a35,invalid,S1-R Transfer,0,NA
5638e8a444e8c8000ee86a35,Valid,S1-R Transfer,20,875.3400000095297
56a8bb427f2472000b9522f6,invalid,S1-R Transfer,16,NA
56a8bb427f2472000b9522f6,Valid,S1-R Transfer,4,413.87499998512567
580decae240a2d0001e6bab3,invalid,S1-R Transfer,7,NA
580decae240a2d0001e6bab3,Valid,S1-R Transfer,13,691.9384615381082
59e1e3a23e4b5a00016a9c17,invalid,S1-R Transfer,12,NA
59e1e3a23e4b5a00016a9c17,Valid,S1-R Transfer,8,772.274999991069
5aeb063b2f05b500013028a0,invalid,S1-R Transfer,13,NA
5aeb063b2f05b500013028a0,Valid,S1-R Transfer,7,424.9285714455969
5b2870cf7f78160001465bf9,invalid,S1-R Transfer,5,NA
5b2870cf7f78160001465bf9,Valid,S1-R Transfer,15,466.00666666676034
5b985404a15058000124e508,invalid,S1-R Transfer,11,NA
5b985404a15058000124e508,Valid,S1-R Transfer,9,356.5555555555559
5bc9e924e642db0001d3a1c5,invalid,S1-R Transfer,5,NA
5bc9e924e642db0001d3a1c5,Valid,S1-R Transfer,15,694.1999999999894
5c1942e200849900010afdcd,invalid,S1-R Transfer,7,NA
5c1942e200849900010afdcd,Valid,S1-R Transfer,13,249.62307692033374
5c4d1a6c9ce35100019dbc88,invalid,S1-R Transfer,12,NA
5c4d1a6c9ce35100019dbc88,Valid,S1-R Transfer,8,614.7749999994545
5cfc7489e289a80016b6e29f,invalid,S1-R Transfer,9,NA
5cfc7489e289a80016b6e29f,Valid,S1-R Transfer,11,372.45454545451264
5d35989e71b4880017d5cc81,invalid,S1-R Transfer,5,NA
5d35989e71b4880017d5cc81,Valid,S1-R Transfer,15,683.6066666623007
5da6139c002c29001335b5a2,invalid,S1-R Transfer,12,NA
5da6139c002c29001335b5a2,Valid,S1-R Transfer,8,378.71250000594614
5de7ccc24b7cf973d7b05bfb,invalid,S1-R Transfer,12,NA
5de7ccc24b7cf973d7b05bfb,Valid,S1-R Transfer,8,588.7625000011099
5e7f514bb18cb4000a68310d,invalid,S1-R Transfer,9,NA
5e7f514bb18cb4000a68310d,Valid,S1-R Transfer,11,512.3636363636438
5e8b89d0afcb1606e761ef7f,invalid,S1-R Transfer,10,NA
