PROLIFIC_PID,Condition,Validity,PC
5f50732850c7c600098593df,S1-R Coloured,Valid,1
5f50732850c7c600098593df,S1-R Coloured,invalid,0
5f50732850c7c600098593df,S2-R,Valid,0.75
5f50732850c7c600098593df,S2-R,invalid,0.25
5f588fb87204220009eb684f,S1-R Coloured,Valid,0.55
5f588fb87204220009eb684f,S1-R Coloured,invalid,0.45
5f588fb87204220009eb684f,S2-R,Valid,0.75
5f588fb87204220009eb684f,S2-R,invalid,0.25
5f5b2bd1b2430a23a9674a55,S1-R Coloured,Valid,0.75
5f5b2bd1b2430a23a9674a55,S1-R Coloured,invalid,0.25
5f5b2bd1b2430a23a9674a55,S2-R,Valid,0.7
5f5b2bd1b2430a23a9674a55,S2-R,invalid,0.3
5f5f5013f947f6000bd8ddcb,S1-R Coloured,Valid,1
5f5f5013f947f6000bd8ddcb,S1-R Coloured,invalid,0
5f5f5013f947f6000bd8ddcb,S2-R,Valid,0.65
5f5f5013f947f6000bd8ddcb,S2-R,invalid,0.35
5f6e36c7f042f033d0f97bc1,S1-R Coloured,Valid,0.5
5f6e36c7f042f033d0f97bc1,S1-R Coloured,invalid,0.5
5f6e36c7f042f033d0f97bc1,S2-R,Valid,0.55
5f6e36c7f042f033d0f97bc1,S2-R,invalid,0.45
5fa3dc74fefcb501f909c68a,S1-R Coloured,Valid,0.85
5fa3dc74fefcb501f909c68a,S1-R Coloured,invalid,0.15
5fa3dc74fefcb501f909c68a,S2-R,Valid,0.6
5fa3dc74fefcb501f909c68a,S2-R,invalid,0.4
5ff792bdc0091e494e352e9b,S1-R Coloured,Valid,0.8
5ff792bdc0091e494e352e9b,S1-R Coloured,invalid,0.2
5ff792bdc0091e494e352e9b,S2-R,Valid,0.65
5ff792bdc0091e494e352e9b,S2-R,invalid,0.35
600de3bf29e45455345fa8b5,S1-R Coloured,Valid,0.95
600de3bf29e45455345fa8b5,S1-R Coloured,invalid,0.05
600de3bf29e45455345fa8b5,S2-R,Valid,0.95
600de3bf29e45455345fa8b5,S2-R,invalid,0.05
6034e8e3628ecdf282096ccf,S1-R Coloured,Valid,0.5
6034e8e3628ecdf282096ccf,S1-R Coloured,invalid,0.5
6034e8e3628ecdf282096ccf,S2-R,Valid,0.525
6034e8e3628ecdf282096ccf,S2-R,invalid,0.475
60603496c9a3d83273a11297,S1-R Coloured,Valid,0.9
60603496c9a3d83273a11297,S1-R Coloured,invalid,0.1
60603496c9a3d83273a11297,S2-R,Valid,1
60603496c9a3d83273a11297,S2-R,invalid,0
6066d08253019ea549b1dd37,S1-R Coloured,Valid,0.75
6066d08253019ea549b1dd37,S1-R Coloured,invalid,0.25
6066d08253019ea549b1dd37,S2-R,Valid,0.725
6066d08253019ea549b1dd37,S2-R,invalid,0.275
6085a4cc5f5f9ba1a3bfd785,S1-R Coloured,Valid,0.45
6085a4cc5f5f9ba1a3bfd785,S1-R Coloured,invalid,0.55
6085a4cc5f5f9ba1a3bfd785,S2-R,Valid,0.475
6085a4cc5f5f9ba1a3bfd785,S2-R,invalid,0.525
6088e7b7d327c199db58cf61,S1-R Coloured,Valid,0.85
6088e7b7d327c199db58cf61,S1-R Coloured,invalid,0.15
6088e7b7d327c199db58cf61,S2-R,Valid,0.8
6088e7b7d327c199db58cf61,S2-R,invalid,0.2
60967660853e8fcaf410748b,S1-R Coloured,Valid,0.55
60967660853e8fcaf410748b,S1-R Coloured,invalid,0.45
60967660853e8fcaf410748b,S2-R,Valid,0.5
60967660853e8fcaf410748b,S2-R,invalid,0.5
60a97537bf4b23dbaba42403,S1-R Coloured,Valid,0.5
60a97537bf4b23dbaba42403,S1-R Coloured,invalid,0.5
60a97537bf4b23dbaba42403,S2-R,Valid,0.45
60a97537bf4b23dbaba42403,S2-R,invalid,0.55
60abbbce67335394c314a00a,S1-R Coloured,Valid,0.8
60abbbce67335394c314a00a,S1-R Coloured,invalid,0.2
60abbbce67335394c314a00a,S2-R,Valid,0.6
60abbbce67335394c314a00a,S2-R,invalid,0.4
60b3950b9a1de417d37bb8d2,S1-R Coloured,Valid,0.6
60b3950b9a1de417d37bb8d2,S1-R Coloured,invalid,0.4
60b3950b9a1de417d37bb8d2,S2-R,Valid,0.475
60b3950b9a1de417d37bb8d2,S2-R,invalid,0.525
60b91383e5e9ab787f581f7c,S1-R Coloured,Valid,0.9
60b91383e5e9ab787f581f7c,S1-R Coloured,invalid,0.1
60b91383e5e9ab787f581f7c,S2-R,Valid,0.825
60b91383e5e9ab787f581f7c,S2-R,invalid,0.175
60cb63abf6f1053d9577e1fe,S1-R Coloured,Valid,1
60cb63abf6f1053d9577e1fe,S1-R Coloured,invalid,0
60cb63abf6f1053d9577e1fe,S2-R,Valid,0.85
60cb63abf6f1053d9577e1fe,S2-R,invalid,0.15
60d432ce6e413e7509dd4b78,S1-R Coloured,Valid,0.6
60d432ce6e413e7509dd4b78,S1-R Coloured,invalid,0.4
60d432ce6e413e7509dd4b78,S2-R,Valid,0.6
60d432ce6e413e7509dd4b78,S2-R,invalid,0.4
60dbd1a6bb3d411213cef6bc,S1-R Coloured,Valid,0.6
60dbd1a6bb3d411213cef6bc,S1-R Coloured,invalid,0.4
60dbd1a6bb3d411213cef6bc,S2-R,Valid,0.5
60dbd1a6bb3d411213cef6bc,S2-R,invalid,0.5
60df713d7718de2a4065b80b,S1-R Coloured,Valid,0.45
60df713d7718de2a4065b80b,S1-R Coloured,invalid,0.55
60df713d7718de2a4065b80b,S2-R,Valid,0.75
60df713d7718de2a4065b80b,S2-R,invalid,0.25
60f91d62ce12ac59792a3f6e,S1-R Coloured,Valid,1
60f91d62ce12ac59792a3f6e,S1-R Coloured,invalid,0
60f91d62ce12ac59792a3f6e,S2-R,Valid,0.525
60f91d62ce12ac59792a3f6e,S2-R,invalid,0.475
60fcebba7345a976efc9c080,S1-R Coloured,Valid,1
60fcebba7345a976efc9c080,S1-R Coloured,invalid,0
60fcebba7345a976efc9c080,S2-R,Valid,0.95
60fcebba7345a976efc9c080,S2-R,invalid,0.05
60fd080d5476f4a77211bafb,S1-R Coloured,Valid,1
60fd080d5476f4a77211bafb,S1-R Coloured,invalid,0
60fd080d5476f4a77211bafb,S2-R,Valid,0.6
60fd080d5476f4a77211bafb,S2-R,invalid,0.4
60fd7f782b0c5f0b6503302a,S1-R Coloured,Valid,0.45
60fd7f782b0c5f0b6503302a,S1-R Coloured,invalid,0.55
60fd7f782b0c5f0b6503302a,S2-R,Valid,0.475
60fd7f782b0c5f0b6503302a,S2-R,invalid,0.525
60fdaf5b539bcc4d2724d6a4,S1-R Coloured,Valid,0.7
60fdaf5b539bcc4d2724d6a4,S1-R Coloured,invalid,0.3
60fdaf5b539bcc4d2724d6a4,S2-R,Valid,0.875
60fdaf5b539bcc4d2724d6a4,S2-R,invalid,0.125
60fdb83606ba18b3b54215fa,S1-R Coloured,Valid,0.7
60fdb83606ba18b3b54215fa,S1-R Coloured,invalid,0.3
60fdb83606ba18b3b54215fa,S2-R,Valid,0.65
60fdb83606ba18b3b54215fa,S2-R,invalid,0.35
6102dacce29b57b1e268c13a,S1-R Coloured,Valid,0.75
6102dacce29b57b1e268c13a,S1-R Coloured,invalid,0.25
6102dacce29b57b1e268c13a,S2-R,Valid,0.675
6102dacce29b57b1e268c13a,S2-R,invalid,0.325
610826a7604223dea33406f1,S1-R Coloured,Valid,0.45
610826a7604223dea33406f1,S1-R Coloured,invalid,0.55
610826a7604223dea33406f1,S2-R,Valid,0.4
610826a7604223dea33406f1,S2-R,invalid,0.6
6108ac1e801e23ad2a25e7f0,S1-R Coloured,Valid,0.8
6108ac1e801e23ad2a25e7f0,S1-R Coloured,invalid,0.2
6108ac1e801e23ad2a25e7f0,S2-R,Valid,0.475
6108ac1e801e23ad2a25e7f0,S2-R,invalid,0.525
6111234ac8cfa49e38acbfb4,S1-R Coloured,Valid,0.7
6111234ac8cfa49e38acbfb4,S1-R Coloured,invalid,0.3
6111234ac8cfa49e38acbfb4,S2-R,Valid,0.7
6111234ac8cfa49e38acbfb4,S2-R,invalid,0.3
6114681d3dcdb4a295eec181,S1-R Coloured,Valid,0.55
6114681d3dcdb4a295eec181,S1-R Coloured,invalid,0.45
6114681d3dcdb4a295eec181,S2-R,Valid,0.775
6114681d3dcdb4a295eec181,S2-R,invalid,0.225
611645b93f0840eae41426f5,S1-R Coloured,Valid,0.55
611645b93f0840eae41426f5,S1-R Coloured,invalid,0.45
611645b93f0840eae41426f5,S2-R,Valid,0.5
611645b93f0840eae41426f5,S2-R,invalid,0.5
611ff6cc935b6de3fff0b896,S1-R Coloured,Valid,0.95
611ff6cc935b6de3fff0b896,S1-R Coloured,invalid,0.05
611ff6cc935b6de3fff0b896,S2-R,Valid,0.775
611ff6cc935b6de3fff0b896,S2-R,invalid,0.225
61436bd26638b05527a135cb,S1-R Coloured,Valid,0.55
61436bd26638b05527a135cb,S1-R Coloured,invalid,0.45
61436bd26638b05527a135cb,S2-R,Valid,0.525
61436bd26638b05527a135cb,S2-R,invalid,0.475
6147724c13bb365774e24af1,S1-R Coloured,Valid,0.5
6147724c13bb365774e24af1,S1-R Coloured,invalid,0.5
6147724c13bb365774e24af1,S2-R,Valid,0.8
6147724c13bb365774e24af1,S2-R,invalid,0.2
6165ab1d62dc48b90438ea1d,S1-R Coloured,Valid,1
6165ab1d62dc48b90438ea1d,S1-R Coloured,invalid,0
